point_id,original_x,original_y,original_z,local_x,local_y,local_z,source_layer,source_handle,is_outlier
P01177,241451.1096,278065.618,59.24,-1959.846,-2845.1847,59.24,9-지형-POINT,39DE3,False
P01178,241463.7096,278071.478,57.78,-1947.246,-2839.3247,57.78,9-지형-POINT,39DE5,False
P01179,241449.8496,278061.428,61.22,-1961.106,-2849.3747,61.22,9-지형-POINT,39DE7,False
P01180,241464.9296,278064.808,60.18,-1946.026,-2845.9947,60.18,9-지형-POINT,39DE9,False
P01181,241469.6196,278057.278,62.91,-1941.336,-2853.5247,62.91,9-지형-POINT,39DEB,False
P01182,241473.2296,278047.128,64.05,-1937.726,-2863.6747,64.05,9-지형-POINT,39DED,True
P01183,241471.7136,278046.098,64.185,-1939.242,-2864.7047,64.185,9-지형-POINT,39DEF,True
P01184,241457.6546,278044.359,68.217,-1953.301,-2866.4437,68.217,9-지형-POINT,39DF1,True
P01185,241462.2196,278046.378,66.92,-1948.736,-2864.4247,66.92,9-지형-POINT,39DF3,True
P01186,241460.4196,278053.228,65.19,-1950.536,-2857.5747,65.19,9-지형-POINT,39DF5,True
P01187,241457.9096,278057.878,62.96,-1953.046,-2852.9247,62.96,9-지형-POINT,39DF7,False
P01188,241457.0196,278061.638,61.23,-1953.936,-2849.1647,61.23,9-지형-POINT,39DF9,False
P01189,241477.2296,278036.838,61.01,-1933.726,-2873.9647,61.01,9-지형-POINT,39DFB,False
P01190,241489.9896,278037.578,58.58,-1920.966,-2873.2247,58.58,9-지형-POINT,39DFD,False
P01191,241477.7596,278029.818,58.8,-1933.196,-2880.9847,58.8,9-지형-POINT,39DFF,False
P01192,241498.4996,278031.778,55.92,-1912.456,-2879.0247,55.92,9-지형-POINT,39E01,False
P01193,241493.7696,278025.928,55.79,-1917.186,-2884.8747,55.79,9-지형-POINT,39E03,False
P01194,241461.9996,278035.368,65.84,-1948.956,-2875.4347,65.84,9-지형-POINT,39E05,True
P01195,241485.0676,278025.136,57.535,-1925.888,-2885.6667,57.535,9-지형-POINT,39E07,False
P01196,241507.2396,278020.888,50.91,-1903.716,-2889.9147,50.91,9-지형-POINT,39E09,False
P01197,241512.9096,278010.728,47.44,-1898.046,-2900.0747,47.44,9-지형-POINT,39E0B,False
P01198,241481.5996,278015.678,52.71,-1929.356,-2895.1247,52.71,9-지형-POINT,39E0D,False
P01199,241481.2896,278018.808,54.43,-1929.666,-2891.9947,54.43,9-지형-POINT,39E0F,False
P01200,241509.9496,277999.238,45.82,-1901.006,-2911.5647,45.82,9-지형-POINT,39E11,False
P01201,241479.2396,278008.038,51.16,-1931.716,-2902.7647,51.16,9-지형-POINT,39E13,False
P01202,241475.2296,277998.308,48.0,-1935.726,-2912.4947,48.0,9-지형-POINT,39E15,False
P01203,241502.7496,278008.568,48.83,-1908.206,-2902.2347,48.83,9-지형-POINT,39E17,False
P01204,241472.8896,277989.538,45.26,-1938.066,-2921.2647,45.26,9-지형-POINT,39E19,False
P01205,241496.1096,278010.388,50.42,-1914.846,-2900.4147,50.42,9-지형-POINT,39E1B,False
P01206,241470.3396,277982.708,42.5,-1940.616,-2928.0947,42.5,9-지형-POINT,39E1D,False
P01207,241496.9296,277999.468,46.77,-1914.026,-2911.3347,46.77,9-지형-POINT,39E1F,False
P01208,241484.8196,277993.808,46.03,-1926.136,-2916.9947,46.03,9-지형-POINT,39E21,False
P01209,241486.6196,277981.708,41.35,-1924.336,-2929.0947,41.35,9-지형-POINT,39E23,False
P01210,241475.1996,277993.388,46.21,-1935.756,-2917.4147,46.21,9-지형-POINT,39E25,False
P01211,241461.5896,277992.688,46.62,-1949.366,-2918.1147,46.62,9-지형-POINT,39E27,False
P01212,241493.2296,278004.398,48.05,-1917.726,-2906.4047,48.05,9-지형-POINT,39E29,False
P01213,241458.2596,278003.318,51.04,-1952.696,-2907.4847,51.04,9-지형-POINT,39E2B,False
P01214,241455.0596,278048.718,67.86,-1955.896,-2862.0847,67.86,9-지형-POINT,39E2D,True
P01215,241444.3296,278044.488,68.09,-1966.626,-2866.3147,68.09,9-지형-POINT,39E2F,True
P01216,241443.2096,278045.598,68.09,-1967.746,-2865.2047,68.09,9-지형-POINT,39E31,True
P01217,241452.6996,278035.378,68.19,-1958.256,-2875.4247,68.19,9-지형-POINT,39E33,True
P01218,241440.9096,278043.338,68.02,-1970.046,-2867.4647,68.02,9-지형-POINT,39E35,True
P01219,241442.9196,278041.268,68.13,-1968.036,-2869.5347,68.13,9-지형-POINT,39E37,True
P01220,241437.1196,278033.648,66.47,-1973.836,-2877.1547,66.47,9-지형-POINT,39E39,True
P01221,241441.8236,278045.838,67.939,-1969.132,-2864.9647,67.939,9-지형-POINT,39E3B,True
P01222,241430.5296,278024.228,64.59,-1980.426,-2886.5747,64.59,9-지형-POINT,39E3D,True
P01223,241452.5996,278044.188,66.79,-1958.356,-2866.6147,66.79,9-지형-POINT,39E3F,True
P01224,241418.4696,278012.968,61.56,-1992.486,-2897.8347,61.56,9-지형-POINT,39E41,False
P01225,241437.0096,278051.308,64.93,-1973.946,-2859.4947,64.93,9-지형-POINT,39E43,True
P01226,241413.7596,278021.608,60.61,-1997.196,-2889.1947,60.61,9-지형-POINT,39E45,False
P01227,241436.9596,278059.878,61.06,-1973.996,-2850.9247,61.06,9-지형-POINT,39E47,False
P01228,241410.6196,278036.498,59.45,-2000.336,-2874.3047,59.45,9-지형-POINT,39E49,False
P01229,241425.8696,278055.698,60.78,-1985.086,-2855.1047,60.78,9-지형-POINT,39E4B,False
P01230,241412.4396,278053.628,57.27,-1998.516,-2857.1747,57.27,9-지형-POINT,39E4D,False
P01231,241420.5396,278058.778,58.77,-1990.416,-2852.0247,58.77,9-지형-POINT,39E4F,False
P01232,241419.0396,278047.398,60.84,-1991.916,-2863.4047,60.84,9-지형-POINT,39E51,False
P01233,241422.8996,278067.068,56.19,-1988.056,-2843.7347,56.19,9-지형-POINT,39E53,False
P01234,241419.0396,278034.228,62.29,-1991.916,-2876.5747,62.29,9-지형-POINT,39E55,False
P01235,241417.7796,278072.768,52.55,-1993.176,-2838.0347,52.55,9-지형-POINT,39E57,False
P01236,241428.8996,278029.198,64.75,-1982.056,-2881.6047,64.75,9-지형-POINT,39E59,True
P01237,241427.5896,278079.128,51.96,-1983.366,-2831.6747,51.96,9-지형-POINT,39E5B,False
P01238,241412.2796,278079.788,48.34,-1998.676,-2831.0147,48.34,9-지형-POINT,39E5D,False
P01239,241409.3996,278066.078,52.74,-2001.556,-2844.7247,52.74,9-지형-POINT,39E5F,False
P01240,241402.9396,278052.578,53.97,-2008.016,-2858.2247,53.97,9-지형-POINT,39E61,False
P01241,241400.9396,278060.418,51.44,-2010.016,-2850.3847,51.44,9-지형-POINT,39E63,False
P01242,241396.1096,278051.088,51.38,-2014.846,-2859.7147,51.38,9-지형-POINT,39E65,False
P01243,241389.6296,278055.138,47.84,-2021.326,-2855.6647,47.84,9-지형-POINT,39E67,False
P01244,241410.0746,278028.664,59.625,-2000.881,-2882.1387,59.625,9-지형-POINT,39E69,False
P01245,241384.9496,278048.058,47.04,-2026.006,-2862.7447,47.04,9-지형-POINT,39E6B,False
P01246,241427.3296,278029.018,64.4,-1983.626,-2881.7847,64.4,9-지형-POINT,39E6D,True
P01247,241385.6396,278031.288,48.87,-2025.316,-2879.5147,48.87,9-지형-POINT,39E6F,False
P01248,241424.7896,278016.518,62.77,-1986.166,-2894.2847,62.77,9-지형-POINT,39E71,False
P01249,241374.9096,278025.658,46.55,-2036.046,-2885.1447,46.55,9-지형-POINT,39E73,False
P01250,241424.1996,278003.478,61.0,-1986.756,-2907.3247,61.0,9-지형-POINT,39E75,False
P01251,241376.3596,278006.428,46.84,-2034.596,-2904.3747,46.84,9-지형-POINT,39E77,False
P01252,241410.2896,277995.868,57.54,-2000.666,-2914.9347,57.54,9-지형-POINT,39E79,False
P01253,241402.4896,277985.798,54.58,-2008.466,-2925.0047,54.58,9-지형-POINT,39E7B,False
P01254,241393.9396,278025.958,53.1,-2017.016,-2884.8447,53.1,9-지형-POINT,39E7D,False
P01255,241397.5596,277994.908,54.44,-2013.396,-2915.8947,54.44,9-지형-POINT,39E7F,False
P01256,241396.6496,278006.058,54.67,-2014.306,-2904.7447,54.67,9-지형-POINT,39E81,False
P01257,241389.5596,277998.908,51.24,-2021.396,-2911.8947,51.24,9-지형-POINT,39E83,False
P01258,241405.9096,278017.208,58.15,-2005.046,-2893.5947,58.15,9-지형-POINT,39E85,False
P01259,241388.8196,278006.808,51.01,-2022.136,-2903.9947,51.01,9-지형-POINT,39E87,False
P01260,241377.9196,277992.028,46.76,-2033.036,-2918.7747,46.76,9-지형-POINT,39E89,False
P01261,241404.7096,278003.768,56.66,-2006.246,-2907.0347,56.66,9-지형-POINT,39E8B,False
P01262,241381.1896,277979.948,47.08,-2029.766,-2930.8547,47.08,9-지형-POINT,39E8D,False
P01263,241393.0896,278000.968,52.67,-2017.866,-2909.8347,52.67,9-지형-POINT,39E8F,False
P01264,241392.1296,278016.238,52.19,-2018.826,-2894.5647,52.19,9-지형-POINT,39E91,False
P01265,241231.8572,277832.9205,24.9236,-2179.0984,-3077.8822,24.9236,9-지형-POINT,39F46,False
P01266,241231.8522,277832.9354,24.9151,-2179.1034,-3077.8673,24.9151,9-지형-POINT,39F47,False
P01267,241231.8598,277832.9083,24.9301,-2179.0958,-3077.8944,24.9301,9-지형-POINT,39F48,False
P01268,241231.8594,277832.9117,24.9296,-2179.0962,-3077.891,24.9296,9-지형-POINT,39F49,False
P01269,241678.0522,278218.6984,28.4644,-1732.9034,-2692.1043,28.4644,9-지형-POINT,39F4A,False
P01270,241676.2777,278222.2233,27.9376,-1734.6779,-2688.5794,27.9376,9-지형-POINT,39F4B,False
P01271,241691.5644,278255.831,27.423,-1719.3912,-2654.9717,27.423,9-지형-POINT,39F4C,False
P01272,241631.508,278217.0412,34.0696,-1779.4476,-2693.7615,34.0696,9-지형-POINT,39F4D,False
P01273,241680.4499,278140.0493,33.684,-1730.5057,-2770.7534,33.684,9-지형-POINT,39F4E,False
P01274,241653.5294,278086.0352,36.7093,-1757.4262,-2824.7675,36.7093,9-지형-POINT,39F4F,False
P01275,241623.765,278073.6911,37.3446,-1787.1906,-2837.1116,37.3446,9-지형-POINT,39F50,False
P01276,241581.9759,278024.471,34.5422,-1828.9797,-2886.3317,34.5422,9-지형-POINT,39F51,False
P01277,241543.0513,277966.6298,28.6449,-1867.9043,-2944.1729,28.6449,9-지형-POINT,39F52,False
P01278,241512.7198,277944.3123,26.0776,-1898.2358,-2966.4904,26.0776,9-지형-POINT,39F53,False
P01279,241463.487,277914.5173,24.6889,-1947.4686,-2996.2854,24.6889,9-지형-POINT,39F54,False
P01280,241380.0784,277943.4771,32.8655,-2030.8772,-2967.3256,32.8655,9-지형-POINT,39F55,False
P01281,241299.9595,277978.8466,29.7977,-2110.9961,-2931.9561,29.7977,9-지형-POINT,39F56,False
P01282,241243.7951,277986.6966,25.0593,-2167.1605,-2924.1061,25.0593,9-지형-POINT,39F57,False
P01283,241231.3711,277995.8029,24.8961,-2179.5845,-2914.9998,24.8961,9-지형-POINT,39F58,False
P01284,241200.6252,277989.7768,16.3602,-2210.3304,-2921.0259,16.3602,9-지형-POINT,39F59,False
P01285,241251.5121,278040.7907,16.9159,-2159.4435,-2870.012,16.9159,9-지형-POINT,39F5A,False
P01286,241274.286,278085.2023,17.6592,-2136.6696,-2825.6004,17.6592,9-지형-POINT,39F5B,False
P01287,241296.3737,278139.4896,18.3142,-2114.5819,-2771.3131,18.3142,9-지형-POINT,39F5C,False
P01288,241328.4042,278176.491,27.8496,-2082.5514,-2734.3117,27.8496,9-지형-POINT,39F5D,False
P01289,241343.8646,278181.6296,27.2721,-2067.091,-2729.1731,27.2721,9-지형-POINT,39F5E,False
P01290,241343.8776,278181.6308,27.274,-2067.078,-2729.1719,27.274,9-지형-POINT,39F5F,False
P01291,241343.8278,278181.6317,27.2796,-2067.1278,-2729.171,27.2796,9-지형-POINT,39F60,False
P01292,241606.412,278191.5899,37.9233,-1804.5436,-2719.2128,37.9233,9-지형-POINT,39F61,False
P01293,241545.1015,278152.5308,41.7376,-1865.8541,-2758.2719,41.7376,9-지형-POINT,39F62,False
P01294,241490.2076,278131.7786,39.5476,-1920.748,-2779.0241,39.5476,9-지형-POINT,39F63,False
P01295,241393.3158,278134.5839,36.8262,-2017.6398,-2776.2188,36.8262,9-지형-POINT,39F64,False
P01296,241351.0352,278081.284,35.8044,-2059.9204,-2829.5187,35.8044,9-지형-POINT,39F65,False
P01297,241343.2272,278021.6242,39.5435,-2067.7284,-2889.1785,39.5435,9-지형-POINT,39F66,False
P01298,241607.2404,278187.8507,39.8725,-1803.7152,-2722.952,39.8725,9-지형-POINT,39F67,False
P01299,241619.7757,278197.0766,39.2553,-1791.1799,-2713.7261,39.2553,9-지형-POINT,39F69,False
P01300,241625.3149,278203.3929,38.9073,-1785.6407,-2707.4098,38.9073,9-지형-POINT,39F6B,False
P01301,241631.976,278207.5828,38.3093,-1778.9796,-2703.2199,38.3093,9-지형-POINT,39F6D,False
P01302,241638.199,278197.6777,41.7029,-1772.7566,-2713.125,41.7029,9-지형-POINT,39F6F,False
P01303,241631.613,278188.0696,44.4499,-1779.3426,-2722.7331,44.4499,9-지형-POINT,39F71,False
P01304,241642.7826,278178.5338,48.8978,-1768.173,-2732.2689,48.8978,9-지형-POINT,39F73,False
P01305,241642.3029,278172.8949,50.6415,-1768.6527,-2737.9078,50.6415,9-지형-POINT,39F75,False
P01306,241634.9218,278169.2358,50.82,-1776.0338,-2741.5669,50.82,9-지형-POINT,39F77,False
P01307,241629.6143,278172.5299,48.9571,-1781.3413,-2738.2728,48.9571,9-지형-POINT,39F79,False
P01308,241621.6557,278174.7793,46.2866,-1789.2999,-2736.0234,46.2866,9-지형-POINT,39F7B,False
P01309,241614.3723,278178.4769,43.6498,-1796.5833,-2732.3258,43.6498,9-지형-POINT,39F7D,False
P01310,241589.1642,278159.3387,44.9889,-1821.7914,-2751.464,44.9889,9-지형-POINT,39F7F,False
P01311,241596.2155,278180.1359,40.7615,-1814.7401,-2730.6668,40.7615,9-지형-POINT,39F81,False
P01312,241583.5647,278169.6744,41.2236,-1827.3909,-2741.1283,41.2236,9-지형-POINT,39F83,False
P01313,241570.0029,278155.6805,42.7806,-1840.9527,-2755.1222,42.7806,9-지형-POINT,39F85,False
P01314,241573.113,278152.4998,43.8114,-1837.8426,-2758.3029,43.8114,9-지형-POINT,39F87,False
P01315,241584.8356,278195.7521,34.6823,-1826.12,-2715.0506,34.6823,9-지형-POINT,39F89,False
P01316,241580.8759,278204.0651,33.7358,-1830.0797,-2706.7376,33.7358,9-지형-POINT,39F8B,False
P01317,241561.505,278195.5994,33.0621,-1849.4506,-2715.2033,33.0621,9-지형-POINT,39F8D,False
P01318,241558.8286,278188.7111,33.6888,-1852.127,-2722.0916,33.6888,9-지형-POINT,39F8F,False
P01319,241566.0724,278184.01,34.4301,-1844.8832,-2726.7927,34.4301,9-지형-POINT,39F91,False
P01320,241573.5272,278190.792,34.5343,-1837.4284,-2720.0107,34.5343,9-지형-POINT,39F93,False
P01321,241562.3466,278179.349,35.5804,-1848.609,-2731.4537,35.5804,9-지형-POINT,39F95,False
P01322,241557.7175,278183.6414,35.5314,-1853.2381,-2727.1613,35.5314,9-지형-POINT,39F97,False
P01323,241541.4055,278176.5539,35.957,-1869.5501,-2734.2488,35.957,9-지형-POINT,39F99,False
P01324,241545.0263,278167.0235,36.538,-1865.9293,-2743.7792,36.538,9-지형-POINT,39F9B,False
P01325,241520.7964,278164.3364,36.5878,-1890.1592,-2746.4663,36.5878,9-지형-POINT,39F9D,False
P01326,241510.5426,278156.2558,36.6607,-1900.413,-2754.5469,36.6607,9-지형-POINT,39F9F,False
P01327,241511.2805,278151.2829,36.9821,-1899.6751,-2759.5198,36.9821,9-지형-POINT,39FA1,False
P01328,241520.1025,278153.3077,37.1102,-1890.8531,-2757.495,37.1102,9-지형-POINT,39FA3,False
P01329,241502.6931,278152.2959,34.8495,-1908.2625,-2758.5068,34.8495,9-지형-POINT,39FA5,False
P01330,241491.1789,278144.4581,35.5672,-1919.7767,-2766.3446,35.5672,9-지형-POINT,39FA7,False
P01331,241475.9742,278138.655,35.3673,-1934.9814,-2772.1477,35.3673,9-지형-POINT,39FA9,False
P01332,241451.3194,278144.0512,32.3685,-1959.6362,-2766.7515,32.3685,9-지형-POINT,39FAB,False
P01333,241451.2484,278152.2029,30.7743,-1959.7072,-2758.5998,30.7743,9-지형-POINT,39FAD,False
P01334,241472.0255,278152.0541,32.7522,-1938.9301,-2758.7486,32.7522,9-지형-POINT,39FAF,False
P01335,241468.8089,278163.038,30.2884,-1942.1467,-2747.7647,30.2884,9-지형-POINT,39FB1,False
P01336,241489.9299,278162.4905,32.8922,-1921.0257,-2748.3122,32.8922,9-지형-POINT,39FB3,False
P01337,241490.6685,278174.1271,31.3392,-1920.2871,-2736.6756,31.3392,9-지형-POINT,39FB5,False
P01338,241505.5992,278177.2321,31.7861,-1905.3564,-2733.5706,31.7861,9-지형-POINT,39FB7,False
P01339,241524.1865,278185.3862,32.3511,-1886.7691,-2725.4165,32.3511,9-지형-POINT,39FB9,False
P01340,241552.118,278194.8235,32.2257,-1858.8376,-2715.9792,32.2257,9-지형-POINT,39FBB,False
P01341,241551.8331,278188.2973,32.7813,-1859.1225,-2722.5054,32.7813,9-지형-POINT,39FBD,False
P01342,241526.3827,278175.775,33.5534,-1884.5729,-2735.0277,33.5534,9-지형-POINT,39FBF,False
P01343,241511.0593,278167.7031,33.5034,-1899.8963,-2743.0996,33.5034,9-지형-POINT,39FC1,False
P01344,241552.996,278200.9463,30.7752,-1857.9596,-2709.8564,30.7752,9-지형-POINT,39FC3,False
P01345,241551.3443,278206.2622,29.9089,-1859.6113,-2704.5405,29.9089,9-지형-POINT,39FC5,False
P01346,241529.4103,278200.0928,29.8678,-1881.5453,-2710.7099,29.8678,9-지형-POINT,39FC7,False
P01347,241528.0356,278191.8061,31.1806,-1882.92,-2718.9966,31.1806,9-지형-POINT,39FC9,False
P01348,241507.5652,278192.1867,29.4645,-1903.3904,-2718.616,29.4645,9-지형-POINT,39FCB,False
P01349,241510.0027,278186.1059,30.5371,-1900.9529,-2724.6968,30.5371,9-지형-POINT,39FCD,False
P01350,241542.3802,278215.9802,27.4114,-1868.5754,-2694.8225,27.4114,9-지형-POINT,39FCF,False
P01351,241558.9828,278210.2242,29.7453,-1851.9728,-2700.5785,29.7453,9-지형-POINT,39FD1,False
P01352,241294.7712,278192.4585,0.7957,-2116.1844,-2718.3442,0.7957,9-지형-POINT,39FD3,False
P01353,241285.549,278180.4805,0.9857,-2125.4066,-2730.3222,0.9857,9-지형-POINT,39FD5,False
P01354,241275.4138,278186.8582,0.1635,-2135.5418,-2723.9445,0.1635,9-지형-POINT,39FD7,False
P01355,241277.587,278166.5932,0.0895,-2133.3686,-2744.2095,0.0895,9-지형-POINT,39FD9,False
P01356,241271.3951,278151.9727,0.0029,-2139.5605,-2758.83,0.0029,9-지형-POINT,39FDB,False
P01357,241264.707,278138.9742,-0.0196,-2146.2486,-2771.8285,-0.0196,9-지형-POINT,39FDD,False
P01358,241258.3349,278122.1491,0.0801,-2152.6207,-2788.6536,0.0801,9-지형-POINT,39FDF,False
P01359,241247.4713,278103.2058,0.0547,-2163.4843,-2807.5969,0.0547,9-지형-POINT,39FE1,False
P01360,241275.1937,278157.1624,-0.0328,-2135.7619,-2753.6403,-0.0328,9-지형-POINT,39FE3,False
P01361,241289.9836,278188.1444,0.3767,-2120.972,-2722.6583,0.3767,9-지형-POINT,39FE5,False
P01362,241300.051,278191.7955,1.5695,-2110.9046,-2719.0072,1.5695,9-지형-POINT,39FE7,False
P01363,241295.5029,278198.5336,0.0327,-2115.4527,-2712.2691,0.0327,9-지형-POINT,39FE9,False
P01364,241310.3088,278213.1136,-0.0804,-2100.6468,-2697.6891,-0.0804,9-지형-POINT,39FEB,False
P01365,241315.2488,278207.6192,1.6978,-2095.7068,-2703.1835,1.6978,9-지형-POINT,39FED,False
P01366,241331.5487,278216.2745,1.7224,-2079.4069,-2694.5282,1.7224,9-지형-POINT,39FEF,False
P01367,241334.2548,278224.7887,0.0594,-2076.7008,-2686.014,0.0594,9-지형-POINT,39FF1,False
P01368,241350.4191,278220.9275,1.5997,-2060.5365,-2689.8752,1.5997,9-지형-POINT,39FF3,False
P01369,241358.3356,278230.3872,0.0576,-2052.62,-2680.4155,0.0576,9-지형-POINT,39FF5,False
P01370,241377.5986,278228.5456,0.6264,-2033.357,-2682.2571,0.6264,9-지형-POINT,39FF7,False
P01371,241379.1695,278235.2715,-0.0232,-2031.7861,-2675.5312,-0.0232,9-지형-POINT,39FF9,False
P01372,241387.3419,278232.2643,2.0968,-2023.6137,-2678.5384,2.0968,9-지형-POINT,39FFB,False
